package_name,total_time,total_minutes,last_time,exported_at
com.google.android.youtube,46:56,46.93,12. 5. 2026 23:50,2026-05-13T00:18:40.096824
devian.tubemate.v3,42:24,42.4,10. 5. 2026 20:49,2026-05-13T00:18:40.096824
com.samsung.android.incallui,30:43,30.72,12. 5. 2026 23:05,2026-05-13T00:18:40.096824
com.sec.android.app.launcher,24:26,24.43,12. 5. 2026 23:55,2026-05-13T00:18:40.096824
com.android.settings,23:49,23.82,13. 5. 2026 00:09,2026-05-13T00:18:40.096824
com.android.settings,23:49,23.82,13. 5. 2026 00:09,2026-05-13T00:18:40.096824
com.android.settings,23:25,23.42,13. 5. 2026 00:09,2026-05-13T00:18:40.096824
com.android.settings,21:18,21.3,13. 5. 2026 00:09,2026-05-13T00:18:40.096824
com.margento.studentskaprehrana,16:21,16.35,12. 5. 2026 14:59,2026-05-13T00:18:40.096824
com.margento.studentskaprehrana,16:21,16.35,12. 5. 2026 14:59,2026-05-13T00:18:40.096824
com.sec.android.app.clockpackage,14:54,14.9,12. 5. 2026 09:59,2026-05-13T00:18:40.096824
com.sec.android.app.clockpackage,14:54,14.9,12. 5. 2026 09:59,2026-05-13T00:18:40.096824
org.mozilla.focus,13:35,13.58,12. 5. 2026 23:58,2026-05-13T00:18:40.096824
com.samsung.android.contacts,12:25,12.42,12. 5. 2026 22:26,2026-05-13T00:18:40.096824
com.samsung.android.contacts,12:25,12.42,12. 5. 2026 22:26,2026-05-13T00:18:40.096824
com.sec.android.app.clockpackage,10:45,10.75,12. 5. 2026 09:59,2026-05-13T00:18:40.096824
com.samsung.android.contacts,07:55,7.92,12. 5. 2026 22:26,2026-05-13T00:18:40.096824
com.android.systemui,06:53,6.88,12. 5. 2026 23:59,2026-05-13T00:18:40.096824
com.android.systemui,06:53,6.88,12. 5. 2026 23:59,2026-05-13T00:18:40.096824
com.samsung.android.messaging,06:17,6.28,12. 5. 2026 22:24,2026-05-13T00:18:40.096824
com.samsung.android.messaging,06:17,6.28,12. 5. 2026 22:24,2026-05-13T00:18:40.096824
com.samsung.android.messaging,04:14,4.23,12. 5. 2026 22:24,2026-05-13T00:18:40.096824
com.margento.studentskaprehrana,04:05,4.08,12. 5. 2026 14:59,2026-05-13T00:18:40.096824
com.android.systemui,03:09,3.15,12. 5. 2026 23:59,2026-05-13T00:18:40.096824
com.sec.android.app.launcher,02:35,2.58,12. 5. 2026 23:55,2026-05-13T00:18:40.096824
com.sec.android.gallery3d,02:23,2.38,10. 5. 2026 22:49,2026-05-13T00:18:40.096824
com.sec.android.app.popupcalculator,02:14,2.23,6. 5. 2026 15:05,2026-05-13T00:18:40.096824
com.sec.android.app.popupcalculator,02:14,2.23,6. 5. 2026 15:05,2026-05-13T00:18:40.096824
com.sec.android.daemonapp,02:04,2.07,11. 5. 2026 19:10,2026-05-13T00:18:40.096824
com.sec.android.daemonapp,02:04,2.07,11. 5. 2026 19:10,2026-05-13T00:18:40.096824
com.azure.authenticator,01:15,1.25,12. 5. 2026 19:37,2026-05-13T00:18:40.096824
com.azure.authenticator,01:15,1.25,12. 5. 2026 19:37,2026-05-13T00:18:40.096824
com.samsung.android.messaging,01:11,1.18,12. 5. 2026 22:24,2026-05-13T00:18:40.096824
com.samsung.android.calendar,01:00,1.0,5. 5. 2026 15:26,2026-05-13T00:18:40.096824
com.samsung.android.calendar,01:00,1.0,5. 5. 2026 15:26,2026-05-13T00:18:40.096824
com.android.systemui,00:37,0.62,12. 5. 2026 23:59,2026-05-13T00:18:40.096824
com.google.android.gms,00:37,0.62,12. 5. 2026 14:33,2026-05-13T00:18:40.096824
com.google.android.gms,00:37,0.62,12. 5. 2026 14:33,2026-05-13T00:18:40.096824
android,00:36,0.6,11. 5. 2026 19:55,2026-05-13T00:18:40.096824
android,00:36,0.6,11. 5. 2026 19:55,2026-05-13T00:18:40.096824
com.sec.android.daemonapp,00:30,0.5,11. 5. 2026 19:10,2026-05-13T00:18:40.096824
com.sec.android.app.camera,00:20,0.33,6. 5. 2026 18:10,2026-05-13T00:18:40.096824
com.sec.android.app.camera,00:20,0.33,6. 5. 2026 18:10,2026-05-13T00:18:40.096824
com.sec.android.app.camera,00:20,0.33,6. 5. 2026 18:10,2026-05-13T00:18:40.096824
com.samsung.android.contacts,00:19,0.32,12. 5. 2026 22:26,2026-05-13T00:18:40.096824
com.sec.android.mimage.photoretouching,00:10,0.17,1. 5. 2026 12:33,2026-05-13T00:18:40.096824
com.sec.android.mimage.photoretouching,00:10,0.17,1. 5. 2026 12:33,2026-05-13T00:18:40.096824
com.azure.authenticator,00:09,0.15,12. 5. 2026 19:37,2026-05-13T00:18:40.096824
com.azure.authenticator,00:09,0.15,12. 5. 2026 19:37,2026-05-13T00:18:40.096824
com.google.android.gms,00:08,0.13,12. 5. 2026 14:33,2026-05-13T00:18:40.096824
com.samsung.android.MtpApplication,00:05,0.08,12. 5. 2026 23:13,2026-05-13T00:18:40.096824
org.mozilla.focus,00:05,0.08,12. 5. 2026 23:58,2026-05-13T00:18:40.096824
com.samsung.android.MtpApplication,00:05,0.08,12. 5. 2026 23:13,2026-05-13T00:18:40.096824
com.samsung.android.MtpApplication,00:05,0.08,12. 5. 2026 23:13,2026-05-13T00:18:40.096824
com.samsung.android.MtpApplication,00:05,0.08,12. 5. 2026 23:13,2026-05-13T00:18:40.096824
com.sec.android.app.sbrowser,00:03,0.05,12. 5. 2026 23:28,2026-05-13T00:18:40.096824
com.sec.android.app.sbrowser,00:03,0.05,12. 5. 2026 23:28,2026-05-13T00:18:40.096824
com.sec.android.app.sbrowser,00:03,0.05,12. 5. 2026 23:28,2026-05-13T00:18:40.096824
com.sec.android.app.sbrowser,00:03,0.05,12. 5. 2026 23:28,2026-05-13T00:18:40.096824
